unix,open,high,low,close,Volume BTC,Volume USD,return,log_return,SMA_24,volatility_24
1751328000,107121.000000,107145.000000,107121.000000,107145.000000,0.042190,4520.447550,1.273489,0.821316,45932.863333,0.259883
1751328000,107164.000000,107189.000000,107129.000000,107135.000000,0.967194,103620.290621,1.274278,0.821663,45961.885417,0.260004
1751241600,108310.000000,108740.000000,106794.000000,107112.000000,4.107455,439957.715676,-0.000308,-0.000308,48667.005000,0.259918
1751241600,108389.000000,108800.000000,106751.000000,107179.000000,809.671168,86779746.115072,0.000411,0.000411,48699.037500,0.260027
1751155200,107264.000000,108500.000000,107220.000000,108373.000000,2.137503,231647.586609,0.011773,0.011704,51484.088333,0.259612
1751155200,107353.000000,108546.000000,107239.000000,108384.000000,526.429076,57056489.026292,0.011243,0.011180,51510.058750,0.259775
1751155200,107335.100000,108544.640000,107227.310000,108398.570000,191.774574,20788089.613227,287.079542,5.663237,4857.544583,58.598465
1751068800,107061.000000,107520.000000,106852.000000,107303.000000,1.119087,120081.352659,-0.009873,-0.009922,54304.189583,0.259372
1751068800,107100.000000,107584.000000,106880.000000,107348.000000,204.999767,22006314.976108,-0.009559,-0.009605,54325.261667,0.259535
1751068800,107102.300000,107613.590000,106856.990000,107335.100000,128.305056,13771636.037733,-0.009811,-0.009859,9316.090833,58.598740
1750982400,107126.000000,107665.000000,106419.000000,107052.000000,5.910723,632754.749641,-0.002339,-0.002342,57079.998333,0.259567
1750982400,107005.000000,107794.000000,106351.000000,107100.000000,1286.607115,137795622.017571,-0.002310,-0.002313,57100.355000,0.259712
1750982400,107004.810000,107819.880000,106416.060000,107102.300000,437.889089,46898928.560739,-0.002169,-0.002171,13765.436667,58.598436
1750896000,107387.000000,108250.000000,106650.000000,107051.000000,1.985538,212553.788829,-0.000009,-0.000009,59848.873333,0.259607
1750896000,107417.000000,108358.000000,106640.000000,107004.000000,791.379749,84680798.702658,-0.000896,-0.000897,59878.825833,0.259676
1750896000,107412.190000,108337.430000,106615.150000,107004.810000,424.756617,45451001.113308,-0.000910,-0.000911,18210.963333,58.598281
1750809600,106074.000000,108103.000000,105930.000000,107308.000000,4.334808,465159.539306,0.002401,0.002398,62655.912500,0.259398
1750809600,106132.000000,108182.000000,105872.000000,107418.000000,1202.130731,129130478.864706,0.003869,0.003862,62690.602083,0.259535
1750809600,106125.000000,108205.190000,105873.640000,107412.190000,454.755740,48846309.978546,0.003807,0.003800,22673.092083,58.598501
1750723200,105409.000000,106218.000000,104753.000000,105793.000000,2.225584,235451.201764,-0.014118,-0.014219,65347.640833,0.259784
1750723200,105418.000000,106344.000000,104695.000000,106131.000000,1158.175426,122918316.170768,-0.011981,-0.012054,65394.684583,0.259901
1750723200,105399.530000,106350.490000,104700.000000,106125.000000,481.596219,51109398.703170,-0.011984,-0.012056,27081.216250,58.598854
1750636800,100619.000000,105910.000000,99670.000000,105486.000000,4.471173,471646.111829,-0.002902,-0.002906,68070.005000,0.259511
1750636800,100990.000000,106125.000000,99705.000000,105464.000000,1771.478094,186827165.717217,-0.006285,-0.006305,68117.567500,0.259637
1750636800,100995.520000,106123.500000,99661.760000,105399.530000,637.748250,67218365.846266,-0.006836,-0.006859,31458.272917,58.599455
1750550400,102309.000000,103362.000000,98213.000000,100975.000000,4.274398,431607.355216,-0.042764,-0.043705,70632.986250,0.259892
1750550400,102198.000000,103387.000000,98240.000000,101015.000000,1366.052813,137991824.878931,-0.042185,-0.043101,70682.295833,0.260019
1750550400,102129.330000,103417.200000,98247.010000,100995.520000,645.759698,65218836.484453,-0.041784,-0.042682,35651.829167,58.599827
1750464000,103241.000000,103966.000000,100911.000000,102267.000000,0.969920,99190.838297,0.012795,0.012714,73139.986250,0.260049
1750464000,103329.000000,104013.000000,100945.000000,102139.000000,817.521345,83500812.684533,0.011127,0.011066,73179.818333,0.260182
1750464000,103281.570000,104018.270000,100920.730000,102129.330000,301.271623,30768669.000917,0.011226,0.011164,39892.574167,58.599759
1750377600,104679.000000,106404.000000,102405.000000,103101.000000,1.734737,178853.112220,0.008155,0.008122,75656.940417,0.260093
1750377600,104682.000000,106521.000000,102309.000000,103316.000000,971.516195,100373167.158194,0.011524,0.011458,75705.011667,0.260187
1750377600,104670.820000,106532.360000,102361.920000,103281.570000,395.940815,40893388.953803,0.011282,0.011219,44181.202917,58.599736
1750291200,105073.000000,105214.000000,103942.000000,104657.000000,2.412296,252463.647820,0.015092,0.014979,78254.656250,0.259879
1750291200,104922.000000,105254.000000,103957.000000,104688.000000,464.845826,48663779.836476,0.013280,0.013192,78307.752500,0.259958
1750291200,104898.450000,105232.920000,103906.170000,104670.820000,174.402876,18254892.052792,0.013451,0.013361,48527.946250,58.599479
1750204800,104592.000000,105521.000000,103520.000000,104789.000000,1.264913,132548.924346,0.001261,0.001260,80810.834167,0.260059
1750204800,104617.000000,105566.000000,103521.000000,104922.000000,971.050319,101884541.592152,0.002235,0.002233,80867.929167,0.260143
1750204800,104581.470000,105571.660000,103507.540000,104898.450000,415.828848,43619801.623633,0.002175,0.002172,52884.209583,58.599438
1750118400,106781.000000,107665.000000,103425.000000,104647.000000,2.613819,273528.348287,-0.001355,-0.001356,83369.844583,0.260025
1750118400,106853.000000,107773.000000,103388.000000,104584.000000,1157.652589,121071938.417130,-0.003221,-0.003227,83416.126667,0.260163
1750118400,106868.330000,107844.200000,103344.050000,104581.470000,535.724172,56026821.381506,-0.003022,-0.003026,57227.167083,58.599525
1750032000,105537.000000,108841.000000,105073.000000,106794.000000,1.747320,186603.260042,0.020517,0.020309,85922.242500,0.260125
1750032000,105612.000000,108990.000000,105023.000000,106829.000000,932.055990,99570609.397373,0.021466,0.021239,85968.053333,0.260255
1750032000,105598.710000,108995.770000,104985.950000,106868.330000,578.722208,61847075.925315,0.021867,0.021631,61664.822083,58.599688
1749945600,105437.000000,106074.000000,104506.000000,105596.000000,1.216195,128425.315604,-0.011218,-0.011281,88381.950833,0.260396
1749945600,105475.000000,106163.000000,104532.000000,105617.000000,487.589701,51497761.484314,-0.011345,-0.011410,88425.360417,0.260531
1749945600,105453.050000,106169.430000,104513.000000,105598.710000,135.183914,14275246.904751,-0.011880,-0.011951,66049.065417,58.600091
1749859200,106085.000000,106218.000000,104365.000000,105417.000000,0.939519,99041.268098,-0.001695,-0.001697,90838.909167,0.260390
1749859200,106117.000000,106250.000000,104376.000000,105464.000000,516.900049,54514346.752971,-0.001449,-0.001450,90887.257500,0.260491
1749859200,106102.810000,106265.110000,104354.180000,105453.050000,175.968489,18556413.877378,-0.001379,-0.001380,70427.314583,58.600061
1749772800,105644.000000,106074.000000,102561.000000,105992.000000,14.541243,1541255.439715,0.005455,0.005440,93346.159167,0.260206
1749772800,105725.000000,106209.000000,102816.000000,106118.000000,1268.164883,134575121.084968,0.006201,0.006182,93384.133333,0.260402
1749772800,105697.610000,106222.000000,102792.300000,106102.810000,617.458602,65514092.757397,0.006162,0.006143,74832.642083,58.600004
1749686400,108605.000000,108671.000000,105787.000000,105787.000000,2.050397,216905.333687,-0.001934,-0.001936,95829.409167,0.260291
1749686400,108670.000000,108833.000000,105731.000000,105731.000000,855.765062,90480895.822130,-0.003647,-0.003654,95859.706250,0.260459
1749686400,108666.730000,108836.070000,105586.000000,105697.610000,554.481701,58607390.564352,-0.003819,-0.003826,79221.492500,58.599806
1749600000,110039.000000,110292.000000,108220.000000,108657.000000,1.627481,176837.155208,0.027130,0.026768,98463.075833,0.259939
1749600000,110292.000000,110398.000000,108113.000000,108678.000000,717.488312,77975194.804139,0.027873,0.027491,98492.070417,0.260085
1749600000,110292.000000,110400.000000,108088.220000,108666.730000,513.629150,55814400.213166,0.028091,0.027703,83733.578333,58.599836
1749513600,110010.000000,110283.000000,108442.000000,110214.000000,11.852460,1306306.975742,0.014329,0.014228,101089.708333,0.260052
1749513600,110311.000000,110400.000000,108403.000000,110292.000000,920.652762,101540634.444151,0.014851,0.014742,101129.507917,0.260179
1749513600,110320.270000,110398.980000,108351.460000,110292.000000,460.511545,50790739.295773,0.014956,0.014846,88313.276250,58.599764
1749427200,105643.000000,110503.000000,105349.000000,110295.000000,1.624061,179125.758362,0.000735,0.000735,103705.791667,0.260105
1749427200,105791.000000,110587.000000,105389.000000,110307.000000,1163.278776,128317791.972912,0.000136,0.000136,103748.760417,0.260257
1749427200,105794.140000,110524.630000,105365.780000,110320.270000,513.805171,56683125.246173,0.000256,0.000256,92894.187917,58.599742
1749340800,105477.000000,106330.000000,105012.000000,105733.000000,4.564260,482592.920555,-0.041362,-0.042242,106147.666667,0.260540
1749340800,105619.000000,106507.000000,105060.000000,105792.000000,353.130726,37358405.752297,-0.040931,-0.041792,106193.958333,0.260694
1749340800,105607.140000,106500.000000,105021.590000,105794.140000,114.499540,12113380.344595,-0.041027,-0.041893,97286.721250,58.599988
1749254400,104295.000000,105900.000000,103990.000000,105735.000000,4.647283,491380.514528,0.000019,0.000019,106088.916667,0.016120
1749254400,104416.000000,105959.000000,103992.000000,105619.000000,613.871456,64836489.288028,-0.001635,-0.001637,106130.791667,0.016102
1749254400,104366.050000,105956.000000,103964.800000,105607.140000,79.120161,8355653.913213,-0.001768,-0.001769,101671.322083,58.600084
1749168000,101491.000000,105275.000000,101220.000000,104315.000000,2.416330,252059.466036,-0.013430,-0.013521,105972.375000,0.016337
1749168000,101558.000000,105416.000000,101159.000000,104393.000000,1474.941483,153973566.236907,-0.011608,-0.011676,106014.708333,0.016260
1749168000,101551.240000,105434.160000,101166.320000,104366.050000,608.588316,63515958.656731,-0.011752,-0.011822,106004.229167,58.600178
1749081600,104696.000000,105699.000000,100550.000000,101565.000000,2.171891,220588.064726,-0.026362,-0.026716,105688.708333,0.016889
1749081600,104734.000000,105959.000000,100426.000000,101559.000000,1374.329509,139575530.594375,-0.027147,-0.027523,105730.333333,0.016883
1749081600,104737.960000,105973.430000,100400.220000,101551.240000,869.097705,88257949.594454,-0.026971,-0.027341,105718.923750,0.016914
1748995200,105490.000000,105952.000000,104266.000000,104682.000000,0.393221,41163.149207,0.030690,0.030228,105579.500000,0.018111
1748995200,105426.000000,106036.000000,104219.000000,104745.000000,791.948474,82952642.861995,0.031371,0.030889,105621.875000,0.018165
1748995200,105448.500000,106043.720000,104203.730000,104737.960000,418.169143,43798183.011521,0.031380,0.030898,105610.709583,0.018190
1748908800,105785.000000,106747.000000,104921.000000,105301.000000,0.561495,59125.940769,0.005913,0.005896,105506.541667,0.018160
1748908800,105890.000000,106854.000000,104947.000000,105454.000000,924.423892,97484197.152313,0.006769,0.006746,105553.291667,0.018228
1748908800,105890.010000,106888.000000,104933.720000,105448.500000,432.854238,45643830.107307,0.006784,0.006761,105541.801250,0.018253
1748822400,105688.000000,105916.000000,103702.000000,105775.000000,2.724278,288160.455736,0.004501,0.004491,105453.375000,0.018189
1748822400,105677.000000,106001.000000,103708.000000,105905.000000,941.731376,99734061.354099,0.004277,0.004268,105507.500000,0.018253
1748822400,105684.050000,106024.000000,103696.590000,105890.010000,445.826424,47208564.523156,0.004187,0.004178,105495.351250,0.018278
1748736000,104555.000000,105820.000000,103813.000000,105714.000000,6.650192,703018.441488,-0.000577,-0.000577,105386.958333,0.018180
