unix,date,symbol,open,high,low,close,Volume ETH,Volume USDC
1751328000,2025-07-01 00:00:00,ETH/USDC,2495.000000,2495.000000,2495.000000,2495.000000,0.000000,0.000000
1751324400,2025-06-30 23:00:00,ETH/USDC,2495.000000,2495.000000,2495.000000,2495.000000,0.000000,0.000000
1751320800,2025-06-30 22:00:00,ETH/USDC,2495.000000,2495.000000,2495.000000,2495.000000,1.000000,2495.000000
1751317200,2025-06-30 21:00:00,ETH/USDC,2497.200000,2497.200000,2497.200000,2497.200000,0.050000,124.860000
1751313600,2025-06-30 20:00:00,ETH/USDC,2505.300000,2513.900000,2504.200000,2513.900000,8.810764,22149.380122
1751310000,2025-06-30 19:00:00,ETH/USDC,2514.400000,2514.400000,2513.200000,2513.200000,0.206352,518.603017
1751306400,2025-06-30 18:00:00,ETH/USDC,2496.000000,2496.000000,2496.000000,2496.000000,1.200000,2995.200000
1751302800,2025-06-30 17:00:00,ETH/USDC,2477.400000,2493.000000,2477.400000,2493.000000,8.023011,20001.367121
1751299200,2025-06-30 16:00:00,ETH/USDC,2473.000000,2473.000000,2462.700000,2469.800000,0.463500,1144.752893
1751295600,2025-06-30 15:00:00,ETH/USDC,2444.300000,2476.500000,2444.300000,2476.500000,3.655317,9052.393021
1751292000,2025-06-30 14:00:00,ETH/USDC,2457.300000,2468.600000,2439.100000,2439.100000,1.233161,3007.803995
1751288400,2025-06-30 13:00:00,ETH/USDC,2458.700000,2458.700000,2458.700000,2458.700000,0.000000,0.000000
1751284800,2025-06-30 12:00:00,ETH/USDC,2464.400000,2464.400000,2458.700000,2458.700000,1.010000,2483.287000
1751281200,2025-06-30 11:00:00,ETH/USDC,2455.700000,2466.500000,2455.700000,2466.500000,1.995641,4922.248453
1751277600,2025-06-30 10:00:00,ETH/USDC,2450.100000,2457.200000,2450.100000,2457.100000,1.405434,3453.292397
1751274000,2025-06-30 09:00:00,ETH/USDC,2477.900000,2478.000000,2454.900000,2454.900000,9.043421,22200.693255
1751270400,2025-06-30 08:00:00,ETH/USDC,2469.900000,2470.000000,2469.900000,2470.000000,0.276039,681.816379
1751266800,2025-06-30 07:00:00,ETH/USDC,2471.500000,2599.300000,2439.700000,2439.700000,21.671700,52872.446490
1751263200,2025-06-30 06:00:00,ETH/USDC,2494.200000,2494.200000,2457.300000,2457.900000,19.668948,48344.308125
1751259600,2025-06-30 05:00:00,ETH/USDC,2502.900000,2502.900000,2502.900000,2502.900000,10.000000,25029.000000
1751256000,2025-06-30 04:00:00,ETH/USDC,2501.700000,2503.900000,2501.700000,2503.900000,0.213282,534.037851
1751252400,2025-06-30 03:00:00,ETH/USDC,2502.600000,2503.800000,2499.500000,2499.500000,3.117003,7790.949998
1751248800,2025-06-30 02:00:00,ETH/USDC,2515.500000,2515.500000,2515.500000,2515.500000,0.000000,0.000000
1751245200,2025-06-30 01:00:00,ETH/USDC,2517.800000,2517.800000,2464.700000,2515.500000,15.396965,38731.066162
1751241600,2025-06-30 00:00:00,ETH/USDC,2513.500000,2513.500000,2513.500000,2513.500000,2.780297,6988.275529
1751238000,2025-06-29 23:00:00,ETH/USDC,2517.300000,2517.300000,2511.600000,2511.600000,2.238443,5622.073238
1751234400,2025-06-29 22:00:00,ETH/USDC,2449.500000,2502.400000,2449.500000,2502.400000,0.777604,1945.877150
1751230800,2025-06-29 21:00:00,ETH/USDC,2426.600000,2426.600000,2416.100000,2416.500000,1.387993,3354.085979
1751227200,2025-06-29 20:00:00,ETH/USDC,2437.200000,2437.200000,2437.200000,2437.200000,0.004103,9.999978
1751223600,2025-06-29 19:00:00,ETH/USDC,2444.900000,2444.900000,2444.900000,2444.900000,0.000000,0.000000
1751220000,2025-06-29 18:00:00,ETH/USDC,2444.900000,2444.900000,2444.900000,2444.900000,0.000000,0.000000
1751216400,2025-06-29 17:00:00,ETH/USDC,2444.900000,2444.900000,2444.900000,2444.900000,0.000000,0.000000
1751212800,2025-06-29 16:00:00,ETH/USDC,2444.900000,2444.900000,2444.900000,2444.900000,0.000000,0.000000
1751209200,2025-06-29 15:00:00,ETH/USDC,2444.900000,2444.900000,2444.900000,2444.900000,0.000000,0.000000
1751205600,2025-06-29 14:00:00,ETH/USDC,2446.000000,2446.000000,2441.200000,2444.900000,2.990352,7311.111116
1751202000,2025-06-29 13:00:00,ETH/USDC,2456.600000,2456.600000,2456.600000,2456.600000,0.000000,0.000000
1751198400,2025-06-29 12:00:00,ETH/USDC,2456.600000,2456.600000,2456.600000,2456.600000,0.013282,32.629593
1751194800,2025-06-29 11:00:00,ETH/USDC,2459.100000,2459.700000,2456.500000,2458.600000,17.135800,42130.077880
1751191200,2025-06-29 10:00:00,ETH/USDC,2458.500000,2459.400000,2452.100000,2459.400000,5.583238,13731.415316
1751187600,2025-06-29 09:00:00,ETH/USDC,2451.100000,2455.400000,2451.100000,2455.400000,2.853863,7007.375087
1751184000,2025-06-29 08:00:00,ETH/USDC,2439.800000,2440.000000,2439.800000,2440.000000,0.074725,182.329195
1751180400,2025-06-29 07:00:00,ETH/USDC,2438.600000,2438.600000,2438.600000,2438.600000,0.000000,0.000000
1751176800,2025-06-29 06:00:00,ETH/USDC,2438.600000,2438.600000,2438.600000,2438.600000,0.000000,0.000000
1751173200,2025-06-29 05:00:00,ETH/USDC,2438.600000,2438.600000,2438.600000,2438.600000,0.000000,0.000000
1751169600,2025-06-29 04:00:00,ETH/USDC,2438.600000,2438.600000,2438.600000,2438.600000,0.000000,0.000000
