unix,date,symbol,open,high,low,close,Volume USDC,Volume WETH
1751263200,2025-06-30 06:00:00,USDC/WETH,0.999788,0.999962,0.999737,0.999892,2589722.387299,0.000000
1751266800,2025-06-30 07:00:00,USDC/WETH,0.999892,1.000092,0.999783,0.999871,1955891.830091,0.000000
1751270400,2025-06-30 08:00:00,USDC/WETH,0.999871,1.000009,0.999687,0.999893,1233826.038188,0.000000
1751274000,2025-06-30 09:00:00,USDC/WETH,0.999893,0.999976,0.999789,0.999887,3420668.289858,0.000000
1751277600,2025-06-30 10:00:00,USDC/WETH,0.999887,0.999988,0.999795,0.999868,1081425.305463,0.000000
1751281200,2025-06-30 11:00:00,USDC/WETH,0.999868,0.999983,0.999678,0.999934,970060.925740,0.000000
1751284800,2025-06-30 12:00:00,USDC/WETH,0.999934,0.999993,0.999803,0.999922,1063501.471605,0.000000
1751288400,2025-06-30 13:00:00,USDC/WETH,0.999922,1.000043,0.999773,0.999864,2277706.142148,0.000000
1751292000,2025-06-30 14:00:00,USDC/WETH,0.999864,1.000230,0.999672,0.999930,2860546.447266,0.000000
1751295600,2025-06-30 15:00:00,USDC/WETH,0.999930,1.000391,0.999818,0.999942,4097828.993817,0.000000
